ResponseId,Country,ConvertedCompYearly,LanguageHaveWorkedWith,YearsCodePro,DevType,EdLevel,RemoteWork,OrgSize,Employment,lang_Python,lang_R,lang_Julia,lang_Java,lang_Kotlin,lang_Scala,lang_JavaScript,lang_TypeScript,lang_PHP,lang_C,lang_C++,lang_Rust,lang_C#,lang_Go,lang_Swift,HighSalary,SurveyYear
29,Dominican Republic,78000.0,HTML/CSS;JavaScript;Python;TypeScript,13.0,"Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Remote,Less than 20 employees,"Independent contractor, freelancer, or self-employed",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2025
30,United States of America,205000.0,Bash/Shell (all shells);C;C#;C++;Java;JavaScript;Kotlin;Rust;SQL;Swift;TypeScript,19.0,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,500 to 999 employees,Employed,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,2025
32,United States of America,250000.0,Elixir;HTML/CSS;JavaScript;SQL;TypeScript,17.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,100 to 499 employees,Employed,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2025
34,United States of America,175000.0,C#;Python;SQL,24.0,Data engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)","5,000 to 9,999 employees",Employed,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2025
36,Germany,95132.0,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;TypeScript,10.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)","1,000 to 4,999 employees",Employed,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2025
38,United States of America,109000.0,Ada;Assembly;Bash/Shell (all shells);C;C#;C++;COBOL;Fortran;Java;JavaScript;PowerShell;Python;SQL;VBA;Visual Basic (.Net),15.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,"10,000 or more employees",Employed,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,2025
39,United Kingdom of Great Britain and Northern Ireland,91215.0,C#;HTML/CSS;SQL;TypeScript,25.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Less than 20 employees,Employed,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2025
40,United States of America,150000.0,HTML/CSS;JavaScript;Ruby;SQL,7.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,Employed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2025
41,United States of America,99999.0,HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL,33.0,"Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some in-person, leans heavy to flexibility)",500 to 999 employees,Employed,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2025
42,United States of America,270000.0,HTML/CSS;JavaScript;Python;TypeScript,25.0,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Less than 20 employees,Employed,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2025
43,United States of America,250000.0,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;Swift;TypeScript;Visual Basic (.Net),25.0,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,"10,000 or more employees",Employed,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,2025
44,Czech Republic,43810.0,C#;C++;Python,8.0,"Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,100 to 499 employees,Employed,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2025
46,Hungary,80966.0,Java;MATLAB;OCaml;Python;Scala,20.0,AI/ML engineer,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,Employed,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2025
48,Malaysia,28275.0,Go;Java;JavaScript;Python;TypeScript,5.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Employed,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,2025
49,United Kingdom of Great Britain and Northern Ireland,142949.0,C#;Elixir;HTML/CSS;JavaScript;SQL;TypeScript,15.0,"Senior executive (C-suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,20 to 99 employees,Employed,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2025
50,Switzerland,117793.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;Python;Rust;SQL;TypeScript,6.0,Academic researcher,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees",Employed,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,2025
51,Germany,75410.0,C#;JavaScript,10.0,"Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, leans heavy to in-person)",Less than 20 employees,Employed,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2025
52,Netherlands,81210.0,C#;C++;Lua;PowerShell;Python;R,15.0,"Developer, game or graphics","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",100 to 499 employees,Employed,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2025
53,Egypt,63909.0,Bash/Shell (all shells);C;C#;Go;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;Zig,20.0,"Architect, software or solutions","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,Employed,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,2025
54,United States of America,151000.0,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,8.0,"Developer, full-stack",Some college/university study without earning a degree,Remote,20 to 99 employees,Employed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2025
55,Netherlands,83531.0,HTML/CSS;JavaScript;PHP;SQL;TypeScript,13.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Employed,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2025
56,Austria,46406.0,Assembly;C++;Groovy;Java;JavaScript;Kotlin;Rust;TypeScript,3.0,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, leans heavy to in-person)","5,000 to 9,999 employees",Employed,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,2025
57,United States of America,6000.0,Assembly;Bash/Shell (all shells);HTML/CSS;Java;JavaScript;MicroPython;PHP;PowerShell;Python;SQL,45.0,Academic researcher,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some in-person, leans heavy to flexibility)","5,000 to 9,999 employees",Retired,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2025
59,Poland,62767.0,Assembly;Bash/Shell (all shells);C;C++;Go;Python;Swift,4.0,Other (please specify):,Some college/university study without earning a degree,"Your choice (very flexible, you can come in when you want or just as needed)","10,000 or more employees",Employed,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2025
60,United Kingdom of Great Britain and Northern Ireland,151117.0,C#;F#;HTML/CSS;JavaScript;SQL,20.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,20 to 99 employees,Employed,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2025
61,Spain,67289.0,Bash/Shell (all shells);Java;SQL,17.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"1,000 to 4,999 employees",Employed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025
62,Czech Republic,197225.0,C;Elixir;Go;HTML/CSS;Python;Rust;SQL;Zig,30.0,"Founder, technology or otherwise","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,"Independent contractor, freelancer, or self-employed",1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2025
64,United States of America,245000.0,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,26.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"1,000 to 4,999 employees",Employed,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2025
65,Serbia,14850.0,Bash/Shell (all shells);C;C++;GDScript;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,1.0,"Developer, embedded applications or devices",Some college/university study without earning a degree,"Your choice (very flexible, you can come in when you want or just as needed)",Less than 20 employees,Student,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2025
68,Sweden,75472.0,Groovy;Java,9.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)","1,000 to 4,999 employees",Employed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025
69,France,174022.0,JavaScript;Python;R;SQL;TypeScript;VBA,31.0,Data engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)","Just me - I am a freelancer, sole proprietor, etc.","Independent contractor, freelancer, or self-employed",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2025
70,Switzerland,210788.0,C;Python;Rust;SQL,22.0,Cybersecurity or InfoSec professional,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",20 to 99 employees,Employed,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2025
73,United States of America,150000.0,C++;Java;Python,10.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,Employed,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2025
74,United Kingdom of Great Britain and Northern Ireland,115720.0,Bash/Shell (all shells);HTML/CSS;Python;SQL,36.0,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Less than 20 employees,Employed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025
75,Romania,20677.0,HTML/CSS;JavaScript;PowerShell;SQL,8.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,,"Independent contractor, freelancer, or self-employed",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025
76,Canada,72958.0,C++;PowerShell,15.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",100 to 499 employees,Employed,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025
77,Uruguay,1480.0,HTML/CSS;JavaScript;Ruby;TypeScript,8.0,"Developer, back-end",Some college/university study without earning a degree,,,Not employed,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2025
78,United States of America,5000.0,F#;HTML/CSS,22.0,"Founder, technology or otherwise","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,"Independent contractor, freelancer, or self-employed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
80,United Arab Emirates,13615.0,Dart,10.0,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,20 to 99 employees,Employed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
82,United States of America,116000.0,Bash/Shell (all shells);PowerShell,12.0,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",20 to 99 employees,Employed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2025
83,Belgium,87011.0,C#;Dart;HTML/CSS;JavaScript;MATLAB;PowerShell;Python;SQL;TypeScript,9.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,Employed,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2025
84,United States of America,90000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,15.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",500 to 999 employees,Employed,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2025
85,Brazil,36407.0,Assembly;Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,15.0,"Architect, software or solutions","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Less than 20 employees,Employed,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2025
86,Italy,139218.0,C;C++;Python;Rust,15.0,"Developer, AI apps or physical AI","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,"5,000 to 9,999 employees",Employed,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2025
88,Spain,25523.0,Assembly;Bash/Shell (all shells);C;C++;Python,2.0,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,100 to 499 employees,Employed,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2025
89,Argentina,13649.0,Ada;Bash/Shell (all shells);Python,6.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Less than 20 employees,Employed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
93,United Kingdom of Great Britain and Northern Ireland,81685.0,Ada;Bash/Shell (all shells);C;C++,6.0,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)","5,000 to 9,999 employees",Employed,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2025
94,Russian Federation,58007.0,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL,25.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",,,"Independent contractor, freelancer, or self-employed",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2025
96,Belgium,167061.0,C;C++;Lua;Python;SQL,33.0,"Developer, AI apps or physical AI","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Remote,"1,000 to 4,999 employees",Employed,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2025
97,United States of America,195000.0,Bash/Shell (all shells);Go;HTML/CSS;Perl;PHP;PowerShell;Python;SQL,26.0,DevOps engineer or professional,Some college/university study without earning a degree,Remote,100 to 499 employees,Employed,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2025
98,Bangladesh,8509.0,C#;HTML/CSS;JavaScript;PowerShell;Python;Ruby;SQL;TypeScript,3.0,"Developer, full-stack",Some college/university study without earning a degree,In-person,"1,000 to 4,999 employees",Employed,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2025
100,Germany,145018.0,Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL,26.0,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Less than 20 employees,Employed,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2025
101,United States of America,155000.0,C#;SQL,25.0,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,Employed,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2025
102,Canada,80254.0,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;R;SQL;TypeScript,15.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Less than 20 employees,Employed,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2025
103,Italy,83531.0,Bash/Shell (all shells);JavaScript;Lua;Python;SQL;TypeScript,17.0,"Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Remote,100 to 499 employees,Employed,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2025
104,Canada,109438.0,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,10.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,20 to 99 employees,Employed,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2025
106,Norway,87561.0,C#;PowerShell;SQL,21.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",100 to 499 employees,Employed,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2025
107,United States of America,75000.0,HTML/CSS;JavaScript;Python;SQL,30.0,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Less than 20 employees,"Independent contractor, freelancer, or self-employed",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2025
109,United Kingdom of Great Britain and Northern Ireland,88492.0,C#;HTML/CSS;JavaScript;SQL;TypeScript,28.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,,"Independent contractor, freelancer, or self-employed",0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2025
110,United States of America,131000.0,Bash/Shell (all shells);C#;C++;F#;Go;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,6.0,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,Employed,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,2025
111,United States of America,120000.0,C#;JavaScript;Kotlin;PowerShell;SQL;TypeScript;Visual Basic (.Net),10.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Less than 20 employees,Employed,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,2025
118,Germany,81210.0,Bash/Shell (all shells);C;C++;Fortran;Python,10.0,Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, leans heavy to in-person)","5,000 to 9,999 employees",Employed,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2025
119,Belgium,48726.0,HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,1.0,"Developer, full-stack",Some college/university study without earning a degree,Remote,Less than 20 employees,Student,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,2025
120,Spain,41765.0,HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,4.0,Data engineer,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)","1,000 to 4,999 employees",Employed,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2025
121,Canada,71499.0,Bash/Shell (all shells);C++;COBOL;HTML/CSS;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;Visual Basic (.Net),25.0,Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",500 to 999 employees,Employed,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,2025
122,United States of America,45000.0,C#;HTML/CSS;JavaScript;PowerShell;SQL;Visual Basic (.Net),45.0,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Your choice (very flexible, you can come in when you want or just as needed)","Just me - I am a freelancer, sole proprietor, etc.","Independent contractor, freelancer, or self-employed",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2025
123,Canada,65663.0,Bash/Shell (all shells);C#;Java;JavaScript;Kotlin;PHP;PowerShell;SQL;Swift;TypeScript,22.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"1,000 to 4,999 employees",Employed,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,2025
124,Canada,113085.0,Go;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,16.0,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Remote,100 to 499 employees,Employed,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,2025
126,Switzerland,94235.0,HTML/CSS;JavaScript;Python;SQL;TypeScript,8.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Less than 20 employees,Employed,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2025
128,Slovakia,2900.0,Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;MicroPython;Python;SQL,1.0,Student,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",,,Student,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,2025
129,United States of America,295000.0,C#;HTML/CSS;JavaScript;Python;TypeScript,20.0,Cloud infrastructure engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"10,000 or more employees",Employed,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2025
130,Netherlands,113694.0,Bash/Shell (all shells);Java;Kotlin;Python;SQL,13.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",20 to 99 employees,Employed,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2025
131,United States of America,80000.0,Bash/Shell (all shells);C++;Go;Java;JavaScript;Perl;PHP;Python;SQL;TypeScript,3.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,100 to 499 employees,Employed,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,2025
132,United States of America,350000.0,C#;Go;PowerShell;Python;TypeScript,25.0,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"1,000 to 4,999 employees",Employed,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,2025
133,Italy,39445.0,Dart;Java;JavaScript;SQL,3.0,"Developer, mobile",Some college/university study without earning a degree,Remote,100 to 499 employees,Employed,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2025
134,India,20109.0,HTML/CSS;JavaScript;TypeScript,4.0,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)","10,000 or more employees",Employed,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2025
